epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.3513558103291445;0.8721477;0.4722093449110194;0.8253418569369566;0.48163059889280324;0.87452394;0.7291667;0.9948795;0.08807247;0.871198;0.4676659805433967;0.8230989482142034;0.3177523440840376;0.4748858447488584;0.87362117;0.71428573;0.99497485;0.08027523
1;0.32366889631356005;0.8797766;0.5031110654597565;0.8349542230897556;0.49823855057876193;0.88785577;0.6875;0.9854262;0.2048314;0.8767846;0.49057188276075925;0.8315891383523121;0.30415686951114257;0.48853211009174313;0.8871961;0.6423358;0.98241204;0.20183486
2;0.3138661010571595;0.8803215;0.5210184720268268;0.8413294615726977;0.5080482897384306;0.8844288;0.752193;0.99109817;0.17262204;0.87802607;0.5095852548073022;0.8387275499384208;0.3102679129465628;0.5;0.8843559;0.6972477;0.98815507;0.17431192
3;0.3134578713059515;0.8852258;0.5383376031212082;0.8472239082950475;0.5188726723704077;0.8952962;0.69973546;0.98211753;0.2662305;0.8829919;0.5202428342595824;0.8412829218174753;0.29773106775174296;0.5045871559633027;0.8947886;0.6725146;0.9798995;0.26376146
4;0.3087760505433518;0.8850896;0.5384882669026583;0.8486928268343255;0.5195979899497487;0.90380806;0.6425856;0.9703797;0.34021136;0.88175046;0.5243271251148;0.8425984773144887;0.2946435632837403;0.4977168949771689;0.9039301;0.6122449;0.96590096;0.3440367
5;0.30528814365999646;0.88686055;0.5450625455917644;0.8515414595374108;0.5208857574232512;0.9018722;0.6708595;0.9752639;0.3220936;0.880509;0.5248222399154973;0.8423869017433169;0.29990526630984266;0.5066964285714286;0.89896977;0.6197183;0.97092605;0.3027523
6;0.30381578683239585;0.8879504;0.5579974637490442;0.8562992046379297;0.5293822199899548;0.904281;0.66830707;0.97345203;0.34172118;0.8833023;0.5309624095681366;0.8431615811692803;0.29554176630254564;0.5160550458715596;0.90301;0.62931037;0.96913135;0.33486238
7;0.29991505159688464;0.888291;0.5578191080650975;0.8586983265814212;0.5311871227364185;0.90155476;0.6892039;0.9775484;0.31806743;0.8851645;0.5328925267776724;0.8471280056903127;0.2908850669176367;0.5137614678899083;0.9010624;0.6571429;0.9741565;0.31651375
8;0.2983856578689612;0.8897214;0.5677143922181223;0.8625812146369076;0.5367203219315896;0.90048456;0.71545666;0.9808571;0.30749875;0.8820608;0.5263509406968315;0.8471321219465611;0.2910407825906701;0.5206422018348624;0.89808077;0.64;0.9741565;0.29357797
9;0.2957833641629361;0.8860432;0.5728287288684799;0.8666592818659239;0.5467806841046278;0.89017916;0.781362;0.99038917;0.21942627;0.88268155;0.5262864341206976;0.8462570058681349;0.29315604061387773;0.5011441647597255;0.89014906;0.7132353;0.98600143;0.22247706
10;0.29406087996341596;0.8908794;0.5801565126131577;0.8668963672727305;0.5460493205837946;0.89951015;0.74092615;0.98369306;0.2979366;0.8879578;0.5349594165970394;0.850416071181596;0.2887734594846793;0.518348623853211;0.90056163;0.6923077;0.97846377;0.30963302
11;0.29335495685744545;0.8879504;0.5798621481425289;0.8663365999050548;0.545774647887324;0.89323086;0.7705696;0.9885773;0.2450931;0.8842334;0.538501594388233;0.850832636313942;0.28862802145053407;0.5252293577981652;0.8921027;0.7172414;0.98528355;0.23853211
12;0.29214482289651345;0.8915605;0.5881876088967386;0.8712246428633447;0.5510820332159033;0.9010838;0.7348395;0.98243266;0.31102163;0.88392305;0.5335176464706815;0.8515233441124364;0.2892031398694904;0.518348623853211;0.89775723;0.6631579;0.977028;0.28899083
13;0.2930705590434583;0.89299095;0.5975181847921637;0.8746703105398578;0.5556114745848012;0.9004248;0.7626263;0.98518986;0.30397585;0.8851645;0.5398991974238415;0.853029893899379;0.2869021415035226;0.5080091533180778;0.8984169;0.67368424;0.9777459;0.29357797
14;0.2886500245752013;0.89339966;0.5953900098898074;0.8744620678811201;0.5495722194262708;0.9034878;0.73707867;0.9815661;0.33014596;0.8820608;0.5305019518445263;0.8524396227533474;0.29165513960796063;0.518348623853211;0.8986083;0.6372549;0.9734386;0.29816514
15;0.28811822562758177;0.89483005;0.5971636987395257;0.872818427705087;0.5495722194262708;0.9046893;0.7447514;0.9818024;0.33920482;0.8882682;0.538017498937189;0.8521671265896982;0.289667613281736;0.5125858123569794;0.9035263;0.6759259;0.9748744;0.33486238
16;0.28982405044282056;0.89387643;0.6006081820833492;0.876069411787934;0.5520885757423251;0.9066014;0.7173252;0.9780211;0.35631606;0.88702667;0.5438271543009545;0.8523079025533961;0.2859654271920818;0.5229357798165137;0.9050167;0.6551724;0.971285;0.34862384
17;0.28616450386403913;0.89448947;0.5999510752221459;0.8767771593029182;0.5523809523809524;0.9046547;0.74065936;0.98140854;0.33920482;0.8882682;0.5385336638482215;0.8511561740550723;0.2879521304835154;0.5091743119266054;0.90406394;0.6727273;0.9741565;0.33944955
18;0.2875232680714485;0.89448947;0.6035487904550643;0.8781478935595948;0.5596376446904882;0.9094115;0.7046729;0.97510636;0.37946653;0.8851645;0.5428262782116461;0.8551950446860779;0.2854384100266971;0.517162471395881;0.90618694;0.6330645;0.96733665;0.36009175
19;0.28476311930445564;0.8963967;0.6134646106377982;0.8804280366894027;0.5656768998490186;0.90567136;0.756044;0.9825114;0.34625062;0.88640594;0.5419033232029041;0.8502662394541515;0.2877661696757166;0.5194508009153318;0.9017264;0.6666667;0.9748744;0.32110092
