epoch,loss,train_acc,train_auprc,train_auroc,train_minpse,train_prec0,train_prec1,train_rec0,train_rec1,val_acc,val_auprc,val_auroc,val_loss,val_minpse,val_prec0,val_prec1,val_rec0,val_rec1
0,0.36080784960000994,0.86904854,0.46007849634318937,0.8194366638911617,0.47270742358078605,0.87200433,0.7051282,0.9939394,0.090361446,0.8810755,0.47338462569842976,0.8432347791092445,0.2909824479164563,0.4893048128342246,0.8843585,0.71428573,0.9936809,0.10840108
1,0.3309935045277501,0.87570965,0.48149750169710553,0.8278901448409519,0.49014238773274915,0.8868419,0.6488673,0.9809398,0.2196057,0.8834885,0.48044832967351964,0.8459608608724318,0.2854986449575802,0.5,0.89688855,0.6131387,0.9790679,0.22764228
2,0.3250505749919279,0.8791159,0.5067596720538334,0.8323129865250919,0.4997269251774986,0.8953789,0.637455,0.97347385,0.29079956,0.8848673,0.5135572515164427,0.849304512002466,0.283257390380481,0.48509485094850946,0.9061345,0.5897436,0.9684044,0.3116531
3,0.32092532956309067,0.88108397,0.5205808882248456,0.8378453567534,0.5,0.8902497,0.700157,0.98322356,0.24424973,0.8879697,0.5183827684117763,0.8532625215667637,0.2801931103481502,0.516042780748663,0.9002539,0.6527778,0.98025274,0.25474253
4,0.3178973357145164,0.8805541,0.5304248685089068,0.8436843793908415,0.5104052573932092,0.88858074,0.7094595,0.9848924,0.23001096,0.8872802,0.5226757177862732,0.8567570865282113,0.2776869108135722,0.5149051490514905,0.89701116,0.66935486,0.98380727,0.22493225
5,0.3151048628046424,0.8827492,0.5369001010621688,0.8461642954618811,0.5142231947483589,0.8962933,0.67290884,0.97698724,0.2951807,0.885212,0.5275095283568051,0.8589908252952988,0.2773971587409237,0.5185185185185185,0.9049724,0.5967742,0.9703792,0.30081302
6,0.31056219797933066,0.8827492,0.5534296219449772,0.8517593911398378,0.5243568691844553,0.8885904,0.74954957,0.98779094,0.22782037,0.8921062,0.5387920556700161,0.8634401075448352,0.2740289643535282,0.5175202156334232,0.8986705,0.7372881,0.9877567,0.23577236
7,0.31064646107433475,0.8849444,0.5514039948707627,0.8513441958034557,0.5240963855421686,0.8949475,0.7119114,0.98173034,0.28148958,0.88865906,0.5322795790432239,0.8608895567628663,0.2735748926767683,0.5230352303523035,0.9032494,0.6419753,0.9770932,0.28184283
8,0.30807360797899425,0.8851715,0.5559467783290701,0.8540267429762168,0.5276107162383816,0.8939007,0.72554743,0.98348707,0.27217963,0.89279556,0.5470051367424419,0.8660538066676086,0.27300177980439083,0.5094850948509485,0.90396506,0.69078946,0.9814376,0.28455284
9,0.30589846462906917,0.8864583,0.563499469557056,0.8576529858805206,0.5377875136911281,0.8934172,0.7515432,0.98585856,0.2667032,0.8979662,0.5619279634935977,0.8670267192403361,0.2690522499184738,0.5202156334231806,0.90595496,0.7482993,0.985387,0.29810297
