epoch,loss,train_acc,train_auprc,train_auroc,train_minpse,train_prec0,train_prec1,train_rec0,train_rec1,val_acc,val_auprc,val_auroc,val_loss,val_minpse,val_prec0,val_prec1,val_rec0,val_rec1
0,0.35452606915229834,0.87525547,0.474734889252748,0.8275482260341175,0.4803299492385787,0.8794456,0.6985294,0.9919379,0.120788306,0.86850274,0.4999068080956567,0.8176917973303747,0.3299929290616854,0.4959349593495935,0.8705604,0.75,0.99503833,0.091412745
1,0.32140093758367305,0.8813862,0.49755203886705485,0.8341318320045717,0.5,0.88902676,0.6948052,0.98613703,0.20406866,0.875097,0.5128018856538294,0.8199108625491511,0.3216771733931925,0.49184782608695654,0.8800642,0.7294118,0.98962563,0.17174515
2,0.31743801606829186,0.8825783,0.5132386612271346,0.8388117544721436,0.5079465988556897,0.8925,0.67830884,0.9827942,0.2345836,0.8813033,0.5307164804692018,0.8261120003198652,0.3091730301212765,0.521978021978022,0.88794154,0.73913044,0.9864682,0.23545706
3,0.312663119065522,0.8834298,0.5170557504047509,0.842423234026813,0.5034965034965035,0.89147836,0.7031872,0.9853505,0.22441195,0.88246703,0.5359347165342707,0.8291532192064093,0.3139289175821331,0.5331491712707183,0.88682294,0.77884614,0.98962563,0.22437674
4,0.3111283035037851,0.8846219,0.5341937355517073,0.8475841558179041,0.5155753337571519,0.89147425,0.7252066,0.98692364,0.2231405,0.8816912,0.5368756587286916,0.8312310939016939,0.31159323749267565,0.5165745856353591,0.885795,0.78,0.99007666,0.21606648
5,0.3057228525864514,0.8847071,0.5339595828848238,0.8516130056516718,0.5104232469993683,0.9000091,0.6514523,0.97522366,0.29942784,0.8836307,0.5351804202039588,0.8365288622167912,0.305014230686625,0.5263157894736842,0.89428216,0.707483,0.9806044,0.28808865
6,0.3033479648446842,0.88598436,0.5491345971745278,0.854827834994262,0.525649145028499,0.89576983,0.6996587,0.9826959,0.26064843,0.8855702,0.5527837115337131,0.8371910832561784,0.3035947098299179,0.5207756232686981,0.8912867,0.7704918,0.9873703,0.2603878
7,0.3018749267159776,0.8889646,0.558608901527097,0.8599797874652407,0.5288157061431286,0.8982305,0.7201309,0.9831875,0.27972028,0.8855702,0.5550077984068238,0.8452414420425396,0.297467581031857,0.5260273972602739,0.89096826,0.775,0.9878214,0.25761774
8,0.29675435485719254,0.88853884,0.5629537065302643,0.8573555581626657,0.5251112523839797,0.89668757,0.72996515,0.9847606,0.26637,0.8813033,0.5435856758717513,0.8377983274545597,0.31128526743446516,0.5457063711911357,0.8869988,0.7522936,0.9878214,0.22714682
9,0.29877017404660783,0.88862395,0.5671434646271857,0.8630569518074993,0.5196017423771002,0.8966258,0.73204905,0.9849572,0.26573426,0.8844065,0.5527549386070085,0.8459661367648877,0.29634954303479916,0.5290858725761773,0.8895656,0.773913,0.9882724,0.2465374
10,0.296039813939147,0.89066756,0.572022414042609,0.8610806074361101,0.5371900826446281,0.90281934,0.7026648,0.97915643,0.31849968,0.8816912,0.5475246626741247,0.8439057547008323,0.296760710590657,0.5318559556786704,0.89180326,0.70289856,0.9815065,0.26869807
11,0.2935156997722099,0.8933924,0.5833566044007038,0.8691114928992674,0.5374841168996188,0.90273637,0.7391952,0.9827942,0.31532103,0.8851823,0.5622614393828473,0.8513507434993011,0.29114895929561463,0.5424657534246575,0.8922009,0.751938,0.9855661,0.26869807
12,0.2938852491395228,0.8924557,0.5860405515789271,0.8678239110573467,0.54354736172918,0.9066095,0.6962025,0.9764035,0.34965035,0.8836307,0.5610764778604556,0.8470431830591363,0.29885543601354764,0.5441988950276243,0.895584,0.6967742,0.9788002,0.29916897
13,0.29187692931221354,0.89390326,0.5891863554871904,0.8696466519153124,0.5441830896376351,0.90141225,0.76076555,0.9852522,0.3032422,0.8855702,0.5634740969578022,0.8494396735375224,0.2990269366914769,0.5497237569060773,0.89160556,0.766129,0.9869193,0.2631579
14,0.2898671708617877,0.89185965,0.5916685423878786,0.8735987781223343,0.5524475524475524,0.897899,0.7710197,0.9874152,0.27399874,0.8871218,0.566026663321987,0.8527226655771257,0.2938652329661293,0.5429362880886427,0.8901945,0.8181818,0.9909788,0.24930748
15,0.2870544499301476,0.895436,0.6029961289101193,0.8776759435271604,0.5473015873015873,0.9061677,0.7346939,0.98082787,0.34329307,0.88595814,0.5662735782344659,0.8539915060780647,0.288716020165163,0.5429362880886427,0.89519113,0.73103446,0.98240864,0.2936288
16,0.2884533334731528,0.89594686,0.608391839230133,0.8797141043277564,0.5518118245390973,0.90585035,0.744089,0.98190933,0.34011444,0.8855702,0.5731308840634426,0.8564829565545513,0.2872267976935008,0.5382513661202186,0.8961253,0.71710527,0.9806044,0.30193907
17,0.2856067336172028,0.8968835,0.608918936273378,0.8779553050340763,0.5568976478067387,0.90542984,0.7608069,0.9836791,0.33566433,0.8816912,0.5676390141693979,0.855214740790442,0.2904609044315835,0.5344352617079889,0.8930921,0.6917808,0.9797023,0.2797784
18,0.28517038162356134,0.8978202,0.6074453965288953,0.8785441549628499,0.5492689129052766,0.9073654,0.7544338,0.9823026,0.35155752,0.88324285,0.5608716266651936,0.8541689313376741,0.2898517738452616,0.5469613259668509,0.8955409,0.6923077,0.97834915,0.29916897
